knee_angle,knee_cross,hip_angle,hip_cross,back_angle,knee_label,hip_label,back_label,overall_label
113.95,0.0173,99.32,0.1215,35.33,1,0,0,1
90.74,-0.3209,94.4,0.0665,33.84,2,0,0,2
94.62,0.1599,92.01,0.0649,37.95,0,0,0,0
87.99,0.0089,96.44,0.1452,54.47,0,0,1,1
88.29,0.901,91.03,-0.0024,44.28,3,0,0,3
92.07,-0.1555,83.62,-0.0964,40.82,0,0,0,0
95.69,-0.0495,95.04,0.0404,49.9,0,0,0,0
88.85,-0.0022,82.99,-0.0558,38.21,0,0,0,0
113.78,-0.0217,97.33,-0.1878,37.75,1,0,0,1
94.81,-0.149,90.82,0.0548,32.8,0,0,0,0
57.26,-0.1446,100.98,0.0937,32.2,3,3,0,3
92.12,0.4571,83.96,0.203,44.62,1,0,0,1
90.06,-0.2001,94.72,-0.1217,43.0,0,0,0,0
93.19,0.2225,84.35,0.014,46.6,0,0,0,0
95.39,-0.4982,93.27,0.127,46.73,2,0,0,2
111.22,0.431,106.97,-0.0702,57.06,1,1,1,1
106.07,0.47,83.69,-0.0606,42.59,1,0,0,1
46.09,0.5991,35.13,-0.1047,82.48,3,3,3,3
97.77,-0.2292,93.73,0.1403,46.52,0,0,0,0
92.94,-0.1875,89.34,-0.0978,37.03,0,0,0,0
97.85,0.0407,98.66,-0.023,36.99,0,0,0,0
56.73,0.5964,39.74,0.0845,84.33,3,3,3,3
96.25,-0.466,89.8,0.0245,37.33,2,0,0,2
107.63,0.5474,98.85,0.0503,54.08,1,0,1,1
57.4,0.0568,88.96,0.0508,37.17,3,0,0,3
83.89,-0.0664,91.28,0.002,36.03,2,0,0,2
87.04,0.3735,94.14,-0.0712,42.04,1,0,0,1
51.55,0.562,40.39,0.0118,71.02,3,3,3,3
70.22,0.0346,84.51,-0.0774,40.6,2,0,0,2
74.12,0.0955,95.52,-0.0083,35.71,2,0,0,2
101.32,-0.7342,99.46,0.1143,33.45,3,0,0,3
86.79,-0.6627,82.73,-0.0754,42.27,3,0,0,3
80.91,0.1539,82.51,-0.1213,46.82,2,0,0,2
90.03,-0.0387,84.78,0.0784,48.81,0,0,0,0
105.79,-0.1294,88.9,0.1571,38.0,1,0,0,1
93.77,-0.1131,94.14,-0.0363,37.01,0,0,0,0
83.52,0.0018,95.71,-0.1466,43.84,2,0,0,2
88.9,0.3528,83.55,0.0327,52.58,1,0,1,1
143.46,0.198,116.21,0.1256,44.12,3,3,0,3
105.92,0.3823,109.17,-0.1741,52.4,1,1,1,1
102.73,-0.0065,85.14,0.0767,63.75,1,0,1,1
91.36,0.1778,97.78,-0.0517,44.74,0,0,0,0
85.04,0.0276,95.69,0.0129,49.81,0,0,0,0
99.66,0.0003,77.49,0.0442,45.67,0,2,0,2
56.07,0.6673,47.06,0.0153,77.0,3,3,3,3
92.0,-0.0497,61.09,-0.0792,44.87,0,2,0,2
96.17,0.2341,87.05,-0.0347,77.82,0,0,3,3
95.34,-0.2843,94.25,0.0974,35.75,2,0,0,2
94.74,0.2178,110.42,0.011,45.87,0,1,0,1
93.9,0.1424,83.79,-0.1682,34.92,0,0,0,0
89.92,0.2386,80.39,0.0231,42.27,0,0,0,0
98.86,0.0247,92.8,0.0021,36.74,0,0,0,0
86.41,-0.2276,86.32,0.1021,37.9,0,0,0,0
72.31,0.1906,93.08,-0.191,30.05,2,0,0,2
96.5,-0.3561,88.23,-0.13,42.55,2,0,0,2
120.32,0.0515,131.97,-0.0646,39.33,3,3,0,3
66.99,-0.4071,65.71,0.1461,27.58,2,2,2,2
91.56,0.0574,74.75,-0.0213,37.88,0,2,0,2
96.49,0.0081,86.28,0.1253,44.73,0,0,0,0
140.85,-0.0814,137.39,-0.1032,43.63,3,3,0,3
89.12,-0.2252,77.58,0.0082,38.83,0,2,0,2
95.83,0.2479,86.04,0.1548,31.44,1,0,0,1
98.16,-0.8297,97.95,-0.1446,53.47,3,0,1,3
94.64,0.6459,102.61,-0.0816,34.47,3,1,0,3
87.24,-0.1943,87.28,0.0693,62.79,0,0,1,1
94.16,0.2319,67.72,-0.0245,42.01,0,2,0,2
86.37,-0.3592,91.33,0.0186,49.25,2,0,0,2
78.53,-0.2047,91.03,0.1107,46.5,2,0,0,2
97.74,0.2254,87.29,-0.1196,43.47,0,0,0,0
88.99,0.0503,91.82,-0.097,37.46,0,0,0,0
88.27,0.0255,77.54,-0.0798,25.93,0,2,2,2
131.74,-0.3252,118.46,-0.1577,42.75,2,3,0,3
